Function,Invocations(%),#Invocations
getutxid,0,0
getutxline,0,0
getwc,0,0
getwchar,0,0
glob,0,0
globfree,0,0
hcreate,0,0
hdestroy,0,0
hsearch,0,0
htonl,0,0
htons,0,0
hypot,0,0
hypotf,0,0
hypotl,0,0
iconv,0,0
iconv_close,0,0
iconv_open,0,0
if_freenameindex,0,0
if_indextoname,0,0
if_nameindex,0,0
if_nametoindex,0,0
ilogb,0,0
ilogbf,0,0
ilogbl,0,0
imaxabs,0,0
imaxdiv,0,0
initstate,0,0
insque,0,0
isalnum,0,0
isalnum_l,0,0
isalpha,0,0
isalpha_l,0,0
isascii,0,0
isastream,0,0
isatty,0,0
isblank,0,0
isblank_l,0,0
iscntrl,0,0
iscntrl_l,0,0
isdigit,0,0
isdigit_l,0,0
isfinite,0,0
isgraph,0,0
isgraph_l,0,0
isgreater,0,0
isgreaterequal,0,0
isinf,0,0
isless,0,0
islessequal,0,0
islessgreater,0,0
islower,0,0
islower_l,0,0
isnan,0,0
isnormal,0,0
isprint,0,0
isprint_l,0,0
ispunct,0,0
ispunct_l,0,0
isspace,0,0
isspace_l,0,0
isunordered,0,0
isupper,0,0
isupper_l,0,0
iswalnum,0,0
iswalnum_l,0,0
iswalpha,0,0
iswalpha_l,0,0
iswblank,0,0
iswblank_l,0,0
iswcntrl,0,0
iswcntrl_l,0,0
iswctype,0,0
iswctype_l,0,0
iswdigit,0,0
iswdigit_l,0,0
iswgraph,0,0
iswgraph_l,0,0
iswlower,0,0
iswlower_l,0,0
iswprint,0,0
iswprint_l,0,0
iswpunct,0,0
iswpunct_l,0,0
iswspace,0,0
iswspace_l,0,0
iswupper,0,0
iswupper_l,0,0
iswxdigit,0,0
iswxdigit_l,0,0
isxdigit,0,0
isxdigit_l,0,0
j0,0,0
j1,0,0
jn,0,0
jrand48,0,0
killpg,0,0
l64a,0,0
labs,0,0
lchown,0,0
lcong48,0,0
ldexp,0,0
ldexpf,0,0
ldexpl,0,0
ldiv,0,0
lfind,0,0
lgamma,0,0
lgammaf,0,0
lgammal,0,0
linkat,0,0
lio_listio,0,0
llabs,0,0
lldiv,0,0
llrint,0,0
llrintf,0,0
llrintl,0,0
llround,0,0
llroundf,0,0
llroundl,0,0
localeconv,0,0
lockf,0,0
log,0,0
log10,0,0
log10f,0,0
log10l,0,0
log1p,0,0
log1pf,0,0
log1pl,0,0
log2,0,0
log2f,0,0
log2l,0,0
logb,0,0
logbf,0,0
logbl,0,0
logf,0,0
logl,0,0
longjmp,0,0
_longjmp,0,0
lrand48,0,0
lrint,0,0
lrintf,0,0
lrintl,0,0
lround,0,0
lroundf,0,0
lroundl,0,0
lsearch,0,0
lstat,0,0
mblen,0,0
mbrlen,0,0
mbrtowc,0,0
mbsinit,0,0
mbsnrtowcs,0,0
mbsrtowcs,0,0
mbstowcs,0,0
mbtowc,0,0
memccpy,0,0
mkdirat,0,0
mkfifo,0,0
mkfifoat,0,0
mknod,0,0
mknodat,0,0
mkstemp,0,0
mktime,0,0
mlockall,0,0
modf,0,0
modff,0,0
modfl,0,0
mprotect,0,0
mq_close,0,0
mq_getattr,0,0
mq_notify,0,0
mq_open,0,0
mq_receive,0,0
mq_send,0,0
mq_setattr,0,0
mq_timedreceive,0,0
mq_timedsend,0,0
mq_unlink,0,0
mrand48,0,0
msgctl,0,0
msgget,0,0
msgrcv,0,0
msgsnd,0,0
munlock,0,0
munlockall,0,0
nan,0,0
nanf,0,0
nanl,0,0
nearbyint,0,0
nearbyintf,0,0
nearbyintl,0,0
newlocale,0,0
nextafter,0,0
nextafterf,0,0
nextafterl,0,0
nexttoward,0,0
nexttowardf,0,0
nexttowardl,0,0
nftw,0,0
nl_langinfo,0,0
nl_langinfo_l,0,0
nrand48,0,0
ntohl,0,0
ntohs,0,0
open,0,0
openat,0,0
openlog,0,0
open_memstream,0,0
open_wmemstream,0,0
pathconf,0,0
pause,0,0
perror,0,0
posix_madvise,0,0
posix_mem_offset,0,0
posix_openpt,0,0
posix_spawn,0,0
posix_spawnattr_destroy,0,0
posix_spawnattr_getflags,0,0
posix_spawnattr_getpgroup,0,0
posix_spawnattr_getschedparam,0,0
posix_spawnattr_getschedpolicy,0,0
posix_spawnattr_getsigdefault,0,0
posix_spawnattr_getsigmask,0,0
posix_spawnattr_init,0,0
posix_spawnattr_setflags,0,0
posix_spawnattr_setpgroup,0,0
posix_spawnattr_setschedparam,0,0
posix_spawnattr_setschedpolicy,0,0
posix_spawnattr_setsigdefault,0,0
posix_spawnattr_setsigmask,0,0
posix_spawn_file_actions_addclose,0,0
posix_spawn_file_actions_adddup2,0,0
posix_spawn_file_actions_addopen,0,0
posix_spawn_file_actions_destroy,0,0
posix_spawn_file_actions_init,0,0
posix_spawnp,0,0
posix_trace_attr_destroy,0,0
posix_trace_attr_getclockres,0,0
posix_trace_attr_getcreatetime,0,0
posix_trace_attr_getgenversion,0,0
posix_trace_attr_getinherited,0,0
posix_trace_attr_getlogfullpolicy,0,0
posix_trace_attr_getlogsize,0,0
posix_trace_attr_getmaxdatasize,0,0
posix_trace_attr_getmaxsystemeventsize,0,0
posix_trace_attr_getmaxusereventsize,0,0
posix_trace_attr_getname,0,0
posix_trace_attr_getstreamfullpolicy,0,0
posix_trace_attr_getstreamsize,0,0
posix_trace_attr_init,0,0
posix_trace_attr_setinherited,0,0
posix_trace_attr_setlogfullpolicy,0,0
posix_trace_attr_setlogsize,0,0
posix_trace_attr_setmaxdatasize,0,0
posix_trace_attr_setname,0,0
posix_trace_attr_setstreamfullpolicy,0,0
posix_trace_attr_setstreamsize,0,0
posix_trace_clear,0,0
posix_trace_close,0,0
posix_trace_create,0,0
posix_trace_create_withlog,0,0
posix_trace_event,0,0
posix_trace_eventid_equal,0,0
posix_trace_eventid_get_name,0,0
posix_trace_eventid_open,0,0
posix_trace_eventset_add,0,0
posix_trace_eventset_del,0,0
posix_trace_eventset_empty,0,0
posix_trace_eventset_fill,0,0
posix_trace_eventset_ismember,0,0
posix_trace_eventtypelist_getnext_id,0,0
posix_trace_eventtypelist_rewind,0,0
posix_trace_flush,0,0
posix_trace_get_attr,0,0
posix_trace_get_filter,0,0
posix_trace_getnext_event,0,0
posix_trace_get_status,0,0
posix_trace_open,0,0
posix_trace_rewind,0,0
posix_trace_set_filter,0,0
posix_trace_shutdown,0,0
posix_trace_start,0,0
posix_trace_stop,0,0
posix_trace_timedgetnext_event,0,0
posix_trace_trid_eventid_open,0,0
posix_trace_trygetnext_event,0,0
posix_typed_mem_get_info,0,0
posix_typed_mem_open,0,0
pow,0,0
powf,0,0
powl,0,0
pread,0,0
printf,0,0
pselect,0,0
psiginfo,0,0
psignal,0,0
pthread_atfork,0,0
pthread_attr_getdetachstate,0,0
pthread_attr_getguardsize,0,0
pthread_attr_getinheritsched,0,0
pthread_attr_getschedparam,0,0
pthread_attr_getscope,0,0
pthread_attr_setstack,0,0
pthread_barrierattr_destroy,0,0
pthread_barrierattr_getpshared,0,0
pthread_barrierattr_init,0,0
pthread_barrierattr_setpshared,0,0
pthread_barrier_destroy,0,0
pthread_barrier_init,0,0
pthread_barrier_wait,0,0
pthread_cleanup_pop,0,0
pthread_cleanup_push,0,0
pthread_condattr_destroy,0,0
pthread_condattr_getclock,0,0
pthread_condattr_getpshared,0,0
pthread_condattr_init,0,0
pthread_condattr_setclock,0,0
pthread_condattr_setpshared,0,0
pthread_getconcurrency,0,0
pthread_getcpuclockid,0,0
pthread_getspecific,0,0
pthread_key_create,0,0
pthread_key_delete,0,0
pthread_mutexattr_destroy,0,0
pthread_mutexattr_getprioceiling,0,0
pthread_mutexattr_getprotocol,0,0
pthread_mutexattr_getpshared,0,0
pthread_mutexattr_getrobust,0,0
pthread_mutexattr_gettype,0,0
pthread_mutexattr_init,0,0
pthread_mutexattr_setprioceiling,0,0
pthread_mutexattr_setprotocol,0,0
pthread_mutexattr_setpshared,0,0
pthread_mutexattr_setrobust,0,0
pthread_mutexattr_settype,0,0
pthread_mutex_consistent,0,0
pthread_mutex_destroy,0,0
pthread_mutex_getprioceiling,0,0
pthread_mutex_init,0,0
pthread_mutex_lock,0,0
pthread_mutex_setprioceiling,0,0
pthread_mutex_timedlock,0,0
pthread_mutex_trylock,0,0
pthread_mutex_unlock,0,0
pthread_once,0,0
pthread_rwlockattr_destroy,0,0
pthread_rwlockattr_getpshared,0,0
pthread_rwlockattr_init,0,0
pthread_rwlockattr_setpshared,0,0
pthread_rwlock_destroy,0,0
pthread_rwlock_init,0,0
pthread_rwlock_rdlock,0,0
pthread_rwlock_timedrdlock,0,0
pthread_rwlock_timedwrlock,0,0
pthread_rwlock_tryrdlock,0,0
pthread_rwlock_trywrlock,0,0
pthread_rwlock_unlock,0,0
pthread_rwlock_wrlock,0,0
pthread_self,0,0
pthread_setconcurrency,0,0
pthread_setschedprio,0,0
pthread_setspecific,0,0
